cGGa-cgt-cgga;Amanda Wieczorek;41-999;email@email.com;59
cgtta-cgt-cgta;Daniel Kica;40-145;email@email.pl;78
cgga-cgt-cgta;Stepaniak;69-666;lama@lama.com;10
cgta-cgt-cgta;Aleksander Kwaœniewski;56-125;aktoznami@niewypije.pl;82
ccca-cgt-ccca;Barrack Obama;99-999;first@blck.com;79
cact-cat-cact;Nie Reptilianin;23-342;not@reptilian.pl;56
cccta-cgt-cccta;Elizabeth II;63-543;royal@mail.uk;65
gggcta-cgt-ccgga;Adam Kowalski;54-632;adam@kowalski.pl;68
ggc-cgt-gct;Monty Python;42-547;monty@python.uk;71
cgcta-cgt-cgcta;Hided Reptilian;63-636;notAreptilian@reptilianmail.com;89
